,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
262,2010,강서구,등촌3동,13703.0,3004.0,3588.0,3309.0,2997.0,659.0,146.0
263,2010,강서구,화곡본동,12658.0,2944.0,2977.0,3048.0,2743.0,744.0,202.0
264,2010,강서구,화곡2동,6903.0,1373.0,1572.0,1701.0,1632.0,468.0,157.0
265,2010,강서구,화곡3동,7627.0,1350.0,1490.0,1994.0,2034.0,581.0,178.0
266,2010,강서구,화곡4동,7734.0,1688.0,1795.0,1936.0,1677.0,511.0,127.0
267,2010,강서구,화곡6동,8313.0,1753.0,1756.0,2077.0,2044.0,519.0,164.0
268,2010,강서구,화곡8동,9364.0,1830.0,2301.0,2367.0,2116.0,559.0,191.0
269,2010,강서구,가양1동,6372.0,878.0,1272.0,1657.0,1979.0,450.0,136.0
270,2010,강서구,가양2동,7695.0,2557.0,2085.0,1661.0,1037.0,287.0,68.0
271,2010,강서구,가양3동,7351.0,1858.0,2020.0,1714.0,1352.0,338.0,69.0
272,2010,강서구,발산1동,9885.0,1156.0,1811.0,2484.0,3302.0,907.0,225.0
273,2010,강서구,공항동,7960.0,2537.0,1878.0,1691.0,1357.0,348.0,149.0
274,2010,강서구,방화1동,10069.0,1873.0,2220.0,2434.0,2662.0,669.0,211.0
275,2010,강서구,방화2동,9290.0,2497.0,2238.0,2027.0,1804.0,544.0,180.0
276,2010,강서구,방화3동,10646.0,3163.0,2587.0,2293.0,1977.0,500.0,126.0
277,2010,강서구,화곡1동,18686.0,5126.0,4227.0,4251.0,3717.0,1031.0,334.0
278,2010,강서구,우장산동,12212.0,1806.0,2229.0,3080.0,3929.0,909.0,259.0
280,2010,구로구,신도림동,11472.0,1263.0,2394.0,3223.0,3487.0,876.0,229.0
281,2010,구로구,구로1동,7462.0,1032.0,1514.0,1941.0,2326.0,528.0,121.0
282,2010,구로구,구로3동,12665.0,5755.0,2411.0,2075.0,1791.0,485.0,148.0
283,2010,구로구,구로4동,9274.0,1908.0,2651.0,2179.0,1892.0,488.0,156.0
284,2010,구로구,구로5동,10932.0,2402.0,2545.0,2562.0,2566.0,649.0,208.0
285,2010,구로구,고척1동,8207.0,1331.0,1716.0,2009.0,2349.0,615.0,187.0
286,2010,구로구,고척2동,9988.0,1790.0,2025.0,2564.0,2713.0,697.0,199.0
287,2010,구로구,개봉2동,10823.0,1230.0,2366.0,3021.0,3036.0,879.0,291.0
288,2010,구로구,개봉3동,7138.0,1075.0,1564.0,1887.0,1922.0,529.0,161.0
289,2010,구로구,오류1동,7340.0,1583.0,1794.0,1720.0,1614.0,466.0,163.0
290,2010,구로구,오류2동,9332.0,1580.0,2141.0,2323.0,2407.0,679.0,202.0
291,2010,구로구,수궁동,7793.0,1079.0,1786.0,2019.0,2108.0,610.0,191.0
292,2010,구로구,가리봉동,5722.0,2398.0,1277.0,1000.0,754.0,220.0,73.0
293,2010,구로구,구로2동,12516.0,3474.0,3272.0,2619.0,2291.0,622.0,238.0
294,2010,구로구,개봉1동,12014.0,2256.0,2729.0,2935.0,3106.0,778.0,210.0
296,2010,금천구,가산동,8689.0,4330.0,1572.0,1277.0,1126.0,293.0,91.0
297,2010,금천구,독산1동,12299.0,4118.0,2576.0,2355.0,2345.0,690.0,215.0
298,2010,금천구,독산2동,8418.0,2100.0,1931.0,1935.0,1863.0,455.0,134.0
299,2010,금천구,독산3동,10531.0,2809.0,2539.0,2313.0,2129.0,574.0,167.0
300,2010,금천구,독산4동,6868.0,1768.0,1635.0,1498.0,1449.0,401.0,117.0
301,2010,금천구,시흥1동,10986.0,2802.0,2653.0,2461.0,2406.0,512.0,152.0
302,2010,금천구,시흥2동,7950.0,953.0,1737.0,2124.0,2349.0,582.0,205.0
303,2010,금천구,시흥3동,4177.0,735.0,996.0,1063.0,1019.0,268.0,96.0
304,2010,금천구,시흥4동,8211.0,1687.0,1815.0,1927.0,2073.0,534.0,175.0
305,2010,금천구,시흥5동,8404.0,1972.0,1844.0,1894.0,1930.0,580.0,184.0
307,2010,영등포구,여의도동,10789.0,1676.0,2639.0,2876.0,2697.0,695.0,206.0
308,2010,영등포구,당산1동,7411.0,1989.0,1858.0,1589.0,1443.0,414.0,118.0
309,2010,영등포구,당산2동,11629.0,2866.0,2524.0,2592.0,2711.0,714.0,222.0
310,2010,영등포구,양평1동,6101.0,1540.0,1506.0,1469.0,1165.0,314.0,107.0
311,2010,영등포구,양평2동,6857.0,1188.0,1393.0,1678.0,1985.0,452.0,161.0
312,2010,영등포구,신길1동,8881.0,3318.0,2099.0,1554.0,1418.0,361.0,131.0
313,2010,영등포구,신길3동,6794.0,1650.0,1585.0,1475.0,1564.0,414.0,106.0
